title
Adaptation.;
Kick-Ass;
Lord of War;
Grindhouse;
Leaving Las Vegas;
The Rock;
Raising Arizona;
Snowden;
Face/Off;
Matchstick Men;
Birdy;
Fast Times at Ridgemont High;
The Croods;
Wild at Heart;
Rumble Fish;
Industrial Symphony No. 1: The Dream of the Brokenhearted;
Moonstruck;
Red Rock West;
National Treasure;
Joe;
Teen Titans Go! To the Movies;
Con Air;
Bringing Out the Dead;
Racing with the Moon;
Mandy;
The Family Man;
City of Angels;
The Bad Lieutenant: Port of Call - New Orleans;
The Weather Man;
Gone in Sixty Seconds;
8MM;
National Treasure: Book of Secrets;
The Cotton Club;
Valley Girl;
The Frozen Ground;
Peggy Sue Got Married;
Astro Boy;
It Could Happen to You;
Knowing;
Next;
Seeking Justice;
Guarding Tess;
The Sorcerer's Apprentice;
Snake Eyes;
Windtalkers;
World Trade Center;
Vampire's Kiss;
Trapped in Paradise;
Captain Corelli's Mandolin;
Kiss of Death;
The Ant Bully;
Honeymoon in Vegas;
Best of Times;
Sonny;
Between Worlds;
Christmas Carol: The Movie;
Amos &amp; Andrew
Making of...;
Mom and Dad;
Stolen;
Drive Angry;
Season of the Witch;
The Trust;
Bangkok Dangerous;
The Boy in Blue;
Trespass;
Tempo di uccidere;
Ghost Rider;
Vengeance: A Love Story;
Inconceivable;
USS Indianapolis: Men of Courage;
Pay the Ghost;
The Humanity Bureau;
G-Force;
Army of One;
Tokarev;
The Runner;
Fire Birds;
Dog Eat Dog;
Outcast;
Never on Tuesday;
Looking Glass;
Dying of the Light;
Zandalee;
211;
Ghost Rider: Spirit of Vengeance;
Arsenal;
Deadfall;
The Wicker Man;
Left Behind;
Spider-Man: Into the Spider-Verse;
The Croods 2;
Running with the Devil;
Primal;
A Score to Settle;
Grand Isle;
Kill Chain;
Prisoners of the Ghostland;
Siberia;
Making of... Knowing;
