title;_year_data;year;rated;released;runtime;genres;director;writer;actors;plot;languages;country;Oscar nominations;Oscars;nominations;wins;poster;ratings/0/Source;ratings_Value;ratings/1/Source;ratings/1/Value;ratings/2/Source;ratings/2/Value;metascore;rating;votes;imdbid;type;dvd;boxoffice;production;website;response;name;series;imdburl;totalseasons;start_year;opts/apiKey;opts/timeout
8MM;1999;1999;R;1999-02-25T23:00:00.000Z;123 min;Mystery;Joel Schumacher;Andrew Kevin Walker;Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare;A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, Welles relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town private eye.;English;Germany;0;0;2;2;https://m.media-amazon.com/images/M/MV5BYjQwMmZmNWUtNGE0MS00ZjQ5LTkwNGItYWY3M2FhZDU5ZjBhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg;Internet Movie Database;6.5/10;Rotten Tomatoes;22%;Metacritic;19/100;19;6.5;113,778;tt0134273;movie;22 May 2001;N/A;Columbia Pictures;http://www.spe.sony.com/movies/8mm/index.html;True;8MM;false;https://www.imdb.com/title/tt0134273;;;;
A Score to Settle: The Music of Rambo;2008;2008;N/A;2008-05-26T22:00:00.000Z;6 min;Documentary;N/A;N/A;Sylvester Stallone, Brian Tyler;N/A;English;USA;0;0;0;0;N/A;Internet Movie Database;6.2/10;;;;;N/A;6.2;8;tt1394371;movie;N/A;N/A;N/A;N/A;True;A Score to Settle: The Music of Rambo;false;https://www.imdb.com/title/tt1394371;;;;
Adaptation.;2002;2002;R;2003-02-13T23:00:00.000Z;115 min;Comedy;Spike Jonze;Susan Orlean (book), Charlie Kaufman (screenplay);Nicolas Cage, Tilda Swinton, Meryl Streep, Chris Cooper;"While his latest movie Being John Malkovich (1999) is in production, screenwriter Charlie Kaufman is hired by Valerie Thomas to adapt Susan Orlean's non-fiction book ""The Orchid Thief"" for the screen. Thomas bought the movie rights before Orlean wrote the book, when it was only an article in The New Yorker. The book details the story of rare orchid hunter John Laroche, whose passion for orchids and horticulture made Orlean discover passion and beauty for the first time in her life. Charlie wants to be faithful to the book in his adaptation, but despite Laroche himself being an interesting character in his own right, Charlie is having difficulty finding enough material in Laroche to fill a movie, while equally not having enough to say cinematically about the beauty of orchids. At the same time, Charlie is going through other issues in his life. His insecurity as a person doesn't allow him to act upon his feelings for Amelia Kavan, who is interested in him as a man. And Charlie's twin brother, pretentious Donald, has moved into his house with a goal of also becoming a screenwriter. Despite not admiring Donald as a screenwriter, Charlie asks for his advice. Together, they feel that there is some interesting subtext in the book on which Orlean herself can only elaborate, if only Charlie has the nerve to talk to her. If she can't or won't elaborate, they may have to find out the meaning of that subtext on their own.";English, Latin;USA;0;1;100;64;https://m.media-amazon.com/images/M/MV5BZjIwZWU0ZDItNzBlNS00MDIwLWFlZjctZTJjODdjZWYxNzczL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg;Internet Movie Database;7.7/10;Rotten Tomatoes;91%;Metacritic;83/100;83;7.7;161,514;tt0268126;movie;20 May 2003;$22,184,735;Columbia Pictures;http://www.sonypictures.com/movies/adaptation;True;Adaptation.;false;https://www.imdb.com/title/tt0268126;;;;
Alice Through the Looking Glass;2016;2016;PG;2016-05-26T22:00:00.000Z;113 min;Adventure;James Bobin;Linda Woolverton (screenplay), Lewis Carroll (books);Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway;Alice returns to the magical world of Underland, only to find the Hatter in a horrible state. With the help of her friends, Alice must travel through time to save the Mad Hatter and Underland's fate from the evil clutches of the Red Queen and a clock like creature, known as Time.;English;USA;0;0;18;2;https://m.media-amazon.com/images/M/MV5BMTc2NjExMTIyN15BMl5BanBnXkFtZTgwMjg0OTIwODE@._V1_SX300.jpg;Internet Movie Database;6.2/10;Rotten Tomatoes;30%;Metacritic;34/100;34;6.2;74,674;tt2567026;movie;18 Oct 2016;$77,037,635;Walt Disney Pictures;http://movies.disney.com/alice-through-the-looking-glass;True;Alice Through the Looking Glass;false;https://www.imdb.com/title/tt2567026;;;;
All the Boys Love Mandy Lane;2006;2006;R;2013-09-05T22:00:00.000Z;90 min;Horror;Jonathan Levine;Jacob Forman;Amber Heard, Anson Mount, Michael Welch, Whitney Able;"SPOILER: The orphan Mandy Lane is a beautiful, virgin and pure teenager raised by her aunt, desired by her schoolmates and a close friend of the outcast Emmet. After the death of their high school mate in a pool party, Mandy befriends Chloe, Marlin, Red, Bird and Jake. Red invites the group for a weekend party in the isolated ranch of his family, with all the boys disputing who would succeed in having sex with Mandy Lane. They meet the henchman Garth that takes care of the ranch and he asks the group to go easy on the drugs and booze. In the middle of the night, a stranger wearing a hood attacks Marlin in the barn; when Jake seeks her out, he faces the killer, beginning a night of bloodshed and terror.";English;USA;0;0;1;0;https://m.media-amazon.com/images/M/MV5BMzM0MjU1MzUzMF5BMl5BanBnXkFtZTcwMjcwNDQyOQ@@._V1_SX300.jpg;Internet Movie Database;5.6/10;Rotten Tomatoes;42%;Metacritic;44/100;44;5.6;28,773;tt0490076;movie;3/dec/13;N/A;Radius-TWC;http://alltheboyslovemandylane.com/;True;All the Boys Love Mandy Lane;false;https://www.imdb.com/title/tt0490076;;;;
Army of One;2016;2016;R;2016-11-16T23:00:00.000Z;92 min;Adventure;Larry Charles;Rajiv Joseph, Scott Rothman;Nicolas Cage, Russell Brand, Wendi McLendon-Covey, Amer Chadha-Patel;Frustrated with the U.S. Government for its fruitless efforts to bring down Al-Qaeda's leader Osama Bin Laden, the eccentric middle-aged, part-time construction worker Gary Faulkner, after a personal visit by God himself, takes the decision to embark on an adventure in the badlands of Pakistan to get the job done. With the intention to bloodlessly capture and bring the infamous, yet, elusive leader to justice, Colorado's former handyman turned vigilante, will overlook his problems with diabetes and meticulously prepare for the long and perilous journey. Between reality and pre-dialysis hallucinations, armed only with a teleshop katana and a Stars and Stripes hang glider, this American samurai on a mission from God is determined to take matters into his own hands and succeed at any cost. Is he a hero or a crackpot?;N/A;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BZTc0N2U0ODYtNDFkZC00NWI1LWFlZWItMmIwYmQ0NGYyNDYzXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg;Internet Movie Database;5.0/10;Rotten Tomatoes;25%;Metacritic;43/100;43;5;5,404;tt4382824;movie;15/nov/16;N/A;Conde Nast Entertainment;N/A;True;Army of One;false;https://www.imdb.com/title/tt4382824;;;;
Arsenal;2017;2017;R;2017-01-05T23:00:00.000Z;97 min;Action;Steven C. Miller;Jason Mosberg;Nicolas Cage, John Cusack, Adrian Grenier, Johnathon Schaech;A powerful action thriller, ARSENAL tells the intertwining stories of the Lindel brothers, Mikey (Johnathon Schaech) and JP (Adrian Grenier), who had only each other to rely on growing up. As adults, JP found success as the owner of a construction company, while Mikey became a small-time mobster, mired in a life of petty crime. When Mikey is kidnapped and held for a ransom by ruthless crime boss Eddie King (Nicolas Cage), JP turns to the brothers' old pal Sal (John Cusack), a plain clothes detective for help. In order to rescue his brother, JP must risk everything and unleash his vengeance against King's relentless army of gangsters.;English;USA;0;0;0;0;https://m.media-amazon.com/images/M/MV5BMTEyMzk3ODYzMzdeQTJeQWpwZ15BbWU4MDk0MDc3ODAy._V1_SX300.jpg;Internet Movie Database;4.0/10;Rotten Tomatoes;3%;Metacritic;25/100;25;4;3,156;tt5580536;movie;28 Mar 2017;N/A;Emmett/Furla/Oasis Films;N/A;True;Arsenal;false;https://www.imdb.com/title/tt5580536;;;;
Astro Boy;2009;2009;PG;2009-10-22T22:00:00.000Z;94 min;Animation;David Bowers;Osamu Tezuka (manga), David Bowers (story), Timothy Harris, David Bowers;Charlize Theron, Freddie Highmore, Ryan Stiles, Eugene Levy;Set in futuristic Metro City, Astro Boy is about a young robot with incredible powers created by a brilliant scientist in the image of the son he has lost. Unable to fulfill the grieving man's expectations, our hero embarks on a journey in search of acceptance, experiencing betrayal and a netherworld of robot gladiators, before he returns to save Metro City and reconcile with the father who had rejected him.;English;Hong Kong;0;0;4;0;https://m.media-amazon.com/images/M/MV5BMTI5NTEwNTcxMl5BMl5BanBnXkFtZTcwMDEyMTE4Mg@@._V1_SX300.jpg;Internet Movie Database;6.3/10;Rotten Tomatoes;50%;Metacritic;53/100;53;6.3;29,531;tt0375568;movie;16 Mar 2010;$19,548,064;Summit Entertainment;http://astroboy-themovie.com/;True;Astro Boy;false;https://www.imdb.com/title/tt0375568;;;;
Bangkok Dangerous;2008;2008;R;2008-09-04T22:00:00.000Z;99 min;Action;Danny Pang, Oxide Chun Pang;Jason Richman (screenplay), Oxide Chun Pang, Danny Pang;Nicolas Cage, Shahkrit Yamnarm, Charlie Yeung, Panward Hemmanee;Joe is a professional hit man who picks someone off the street to do his errands, and after he is finished kills that person. His next assignment takes him to Bangkok, and as usual, he finds a street-wise guy named Kong to help him. After Kong has a close call and learns who Joe is, Kong asks him to train him and he does. Joe also meets a local girl who is deaf and spends time with her. However, Joe has a hard time keeping his other life from her. It also appears that the person who hired Joe, breaks his rule of complete anonymity and tries to find him.;English, Thai;USA;0;0;1;0;https://m.media-amazon.com/images/M/MV5BMTk2NjU4MDYwNV5BMl5BanBnXkFtZTcwMDQ5ODg3MQ@@._V1_SX300.jpg;Internet Movie Database;5.4/10;Rotten Tomatoes;8%;Metacritic;24/100;24;5.4;52,125;tt0814022;movie;6/jan/09;$15,195,406;Lionsgate;http://www.bangkokdangerousmovie.net/;True;Bangkok Dangerous;false;https://www.imdb.com/title/tt0814022;;;;
Between Worlds;2018;2018;N/A;2018-09-21T22:00:00.000Z;90 min;Action;Maria Pulera;Maria Pulera;Nicolas Cage, Franka Potente, Penelope Mitchell, Garrett Clayton;Joe meets a mother who can contact spirits when suffocating. Her daughter is dying when Joe helps the mother spiritually contact the daughter and save her. Unfortunately, the spirit in the daughter's body is now that of Joe's dead wife.;English;Spain;0;0;0;0;https://m.media-amazon.com/images/M/MV5BZjQ3YWUwMjItMzJkYy00ZTc4LTk2ZmEtMGJkMmYwMjYwNTdiXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg;Internet Movie Database;6.3/10;Rotten Tomatoes;57%;;;N/A;6.3;3,387;tt7295450;movie;N/A;N/A;Rise Up;N/A;True;Between Worlds;false;https://www.imdb.com/title/tt7295450;;;;
