country;sunlight;beer_servings;spirit_servings;wine_servings;total_litres_of_pure_alcohol
France;2249;127;151;370;11,8
Portugal;2806;194;67;339;11
Switzerland;1566;185;100;280;10,2
Denmark;1739;224;81;278;10,4
Cyprus;3314,1;230;87;254;10,2
Italy;2194;85;42;237;6,5
Equatorial Guinea;1548,95;92;0;233;5,8
Argentina;2240,325;193;25;221;8,3
Uruguay;2481,4;115;35;220;6,6
Greece;2975;133;112;218;8,3
Australia;2754,05;261;72;212;10,4
Belgium;1546;295;84;212;10,5
United Kingdom;1530;219;126;195;10,4
Austria;1884;279;75;191;9,7
Netherlands;1662;251;88;190;9,4
Sweden;1871,5;152;60;186;7,2
Hungary;1988;234;215;185;11,3
New Zealand;2044;203;79;175;9,3
Germany;1644;346;117;175;11,3
China;2182,98;130;124;172;7,6
Romania;2115;297;122;167;10,4
Ireland;1453;313;118;165;11,4
North Korea;2492;361;170;134;11,8
Serbia;2112;283;131;127;9,6
Malta;3054;149;100;120;6,6
Czech Republic;1668;192;154;113;8,2
Spain;2680;284;157;112;10
Central African Republic;2546,5;240;122;100;8,2
Finland;1858;263;133;97;10
Bulgaria;2177;231;252;94;10,3
Tanzania;3032,85;249;158;84;8,7
South Africa;3141,316667;225;76;81;8,2
Iceland;1326;233;61;78;6,6
Paraguay;2803;213;117;74;7,3
Gabon;1720,2;347;98;59;8,9
Poland;1571;343;215;56;10,9
Angola;2341;217;57;45;5,9
Ukraine;1955;206;237;45;8,9
Belarus;1807;142;373;42;14,4
Botswana;3426,666667;173;35;35;5,4
Guinea-Bissau;2707;28;31;21;2,5
Peru;2013,333333;163;160;21;6,1
Tunisia;3049,95;51;3;20;1,3
Togo;2579,95;36;2;19;1,3
Panama;1743,5;285;104;18;7,2
Brazil;2204,3;245;145;16;7,2
Japan;1808,55;77;202;16;7
Algeria;3266,5;25;0;14;0,7
Benin;2630,466667;34;4;13;1,1
Kazakhstan;2431,5;124;246;12;6,8
Singapore;2022,4;60;12;11;1,5
Morocco;3155,466667;12;6;10;0,5
Ghana;2367,5;31;3;10;1,8
Israel;3311;63;69;9;2,5
South Korea;2196,65;140;16;9;9,8
Croatia;1913;76;1;9;1,7
Uzbekistan;2823,9;25;101;8;2,4
Mongolia;2791,5;77;189;8;4,9
Bolivia;2288,9;167;41;8;3,8
Colombia;1589,683333;79;192;8;5
Burkina Faso;3209;25;7;7;4,3
Senegal;3146;9;1;7;0,3
Turkey;2333,8;51;22;7;1,4
Cameroon;2165,125;37;1;7;4
Mozambique;2838;47;18;5;1,3
Mexico;2596,25;238;68;5;5,5
Azerbaijan;2207,4;21;46;5;1,3
Zimbabwe;3065,4;64;18;4;4,7
Zambia;2965,466667;32;19;4;2,5
Madagascar;2864,433333;26;15;4;0,8
Canada;2028,044444;147;1;4;5,8
Djibouti;3279;15;44;3;1,1
Venezuela;2895,45;333;100;3;7,7
Ecuador;1909,55;162;74;3;4,2
Congo;1698,666667;159;76;3;4,2
Kenya;3030,025;58;22;2;1,8
El Salvador;2957;52;69;2;2,2
Nigeria;2669,08;42;5;2;9,1
